"路径","所属模块","文件类型","审阅状态","审阅日期","审计检查点","主要入口或调用者","风险等级","结论","是否需要二次复核"
"02_platform_pingtai/database/supabase/migrations/20260912040000_create_sfl_hosted_mall_opening.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-690 SFL hosted Mall opening","member.malls.open、HostedMallOpeningOperation、WebMemberOperations、zhudatuanwebapi、SFL opening SQL contract","高","G0：capability-versioned hosted consumer→Mall atomic opening、outbox和rollback/replay contract；下游 event consumer未验证","否"
"02_platform_pingtai/database/supabase/migrations/20260912030000_create_sfl_multi_realm_membership.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-689 SFL multi-Realm membership/session resolution","Identity Registration/SMS/PgAuthTicket/RealmAccount、resolve_session、sfl_multi_realm_membership_contract","高","G0：entry-Realm containment、member target projection与cross-Realm session isolation；执行型 contract存在","否"
"02_platform_pingtai/database/supabase/migrations/20260912010000_create_sfl_node_context_scope.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-687 SFL node context and indexed scope","zhudatuanprovisioningapi、AuthoritativeNodeContextResolver、NodeScopeResolver、sfl_node_context_scope_contract","高","G0：versioned node closure/current context/indexed scope boundary；执行型 reparent/closure contract存在","否"
"02_platform_pingtai/database/supabase/migrations/20260911210000_create_sfl_hosted_node_provisioning.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-686 Hosted node provisioning","zhudatuanprovisioningapi、HostedNodeProvisioningPort、SFL hosted node provisioning SQL contract","高","G0：Realm-validated/idempotent hosted node command；仓内无已注册 TS runtime consumer，外部 caller未验证","否"
"02_platform_pingtai/database/supabase/migrations/20260911200000_create_sfl_node_sovereignty.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-685 SFL node sovereignty foundation","identity.realm、organization.node/noderelation、multi-Realm resolver、SFL SQL contracts","高","G0：Realm-bound node sovereignty/lineage history foundation；后续执行型 SFL contracts覆盖其消费者","否"
"02_platform_pingtai/database/supabase/migrations/20260911180000_allow_node_mall_operator_invitations.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-683 Node Mall operator invitations","Identity MembershipInvitationOperations、member.invite RLS、access.zhudatuan_operator_invitation_allowed","高","G0：tenant-owned/node-Mall-bound single-use operator invite RLS；关联 F-0268 DB 授权契约缺口","否"
"02_platform_pingtai/database/supabase/migrations/20260911170000_project_authoritative_owner_to_node_console.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-682 Authoritative Owner node-console projection","PgGovernanceResolver、MembershipInvitationOperations、ConsoleSupportRuntime、access governance/invitation functions","高","G0：principal-bound Owner node projection且保留 exact-owner boundary；关联 F-0268 DB 授权契约缺口","否"
"02_platform_pingtai/database/supabase/migrations/20260911163000_allow_purchase_partner_agreement_read.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-681 Purchase partner agreement read ACL","QuoteReader、PurchaseApiRuntime、zhudatuanpurchaseapi、partner.agreement RLS","高","G0：Purchase quote agreement ACL；F-0279：未配套 purchase RLS policy","是"
"02_platform_pingtai/database/supabase/migrations/20260911155000_allow_web_order_route_facts_read.sql","数据/supabase","数据库迁移","已结构性审阅","2026-09-15","AU-680 Web order route facts read ACL","WebOrderOperations、zhudatuanwebapi、ordering/inventory/fulfillment RLS policies","高","G0：Web order route facts ACL；F-0278：子 relation 无配套 RLS policy","是"
"02_platform_pingtai/database/supabase/migrations/20260911153500_allow_web_order_four_flow_read.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-679 Web order four-flow read ACL","WebOrderOperations、zhudatuanwebapi、payment/finance RLS policies","高","G0：Web order 四流读取 ACL；F-0277：未配套 RLS policy 使实际四流读取不可用","是"
"02_platform_pingtai/database/supabase/migrations/20260907113000_separate_l0_l1_auth_return_targets.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-660 L0/L1 auth return targets","MigrationRunner、identity.authticket、AuthTarget parser、Registration/WeChat/SessionTicket","高","G0：L1 专用 target schema contract；F-0274：应用 AuthTarget/parser 未接受新增值","否"
"02_platform_pingtai/database/supabase/migrations/20260907120000_create_identity_realm_accounts.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-661 Identity Realm/Account initial migration","MigrationRunner、Identity registration/SMS login、access.membership、identity.credential/federatedidentity、AU-660/后续 multi-realm runtime","高","G0：Realm-bound Account、credential/membership 回填与 owner-transfer integrity foundation；关联 F-0264、F-0274","否"
"02_platform_pingtai/database/supabase/migrations/20260907121000_scope_identity_lifecycle_by_realm.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-662 Identity lifecycle Realm scope","MigrationRunner、IdentitySecurity challenge consumer、SMS login、Credential/Registration/MobileWechat operations、identity lifecycle tables","高","G0：Realm-bound mobile/challenge/assurance/login lifecycle 与 platform-owner credential/mobile mutation integrity","否"
"02_platform_pingtai/database/supabase/migrations/20260907122000_bind_sessions_tickets_to_realm_accounts.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-663 Identity session/ticket Realm binding","MigrationRunner、identity.resolve_session、SessionTicketOperations、PgAuthTicket、access.membership/identity.realmtarget","高","G0：session/ticket 的 Realm/Account/membership/target 复合完整性与不完整历史凭据失效处理","否"
"02_platform_pingtai/database/supabase/migrations/20260907123000_enforce_identity_node_profiles.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-664 Identity node profiles","MigrationRunner、RealmAccount/session resolver、RegistrationOperations、hosted/autonomous Realm provisioning","高","G0：operating Mall/consumer Realm topology、target 和 membership node-profile DB boundary","否"
"02_platform_pingtai/database/supabase/migrations/20260908010000_canonicalize_sfl_identity_node_ids.sql","数据/supabase","数据库迁移","已结构性审阅","2026-09-15","AU-665 Canonical Identity node IDs","MigrationRunner、AU-664 Realm profile schema、node registry/runtime/test fixtures","中","G0：初始 Realm/host node id 的历史规范化；无新写模型或运行入口","否"
"02_platform_pingtai/database/supabase/migrations/20260908011000_canonicalize_sfl_identity_targets.sql","数据/supabase","数据库迁移","已结构性审阅","2026-09-15","AU-666 Canonical Identity targets","MigrationRunner、AU-660/661/663 identity target state、AuthTarget parser、PgAuthTicket、auth web rejection tests","高","G0：L1 legacy target 到通用 API target 的前向规范化；关闭 F-0274（待运行 migration ledger 核实）","否"
"02_platform_pingtai/database/supabase/migrations/20260908012000_create_sfl_login_intents.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-667 Cross-Realm login intents","MigrationRunner、SessionTicketOperations、RegistrationOperations、contract/SDK、LoginIntentOperations test","高","G0：跨 Realm one-time login intent schema/runtime；F-0275：无 DB-level state-machine contract test","否"
"02_platform_pingtai/database/supabase/migrations/20260908013000_generalize_storefront_roles.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-668 Generalize Storefront roles","MigrationRunner、access.role、MemberPort invite/storefront registration、Mall role provisioning","中","G0：Mall-bound Storefront role-name predicate；保留既有最小 execute privilege与 operator invite边界","否"
"02_platform_pingtai/database/supabase/migrations/20260909010000_bind_published_listings_to_storefront_pool.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-669 Published listing Storefront pool binding","MigrationRunner、CatalogPublicationJob、WebCatalog/Quote/Checkout readers、CatalogOperations batch test","中","G0：历史 published listing 的 active Storefront pool projection/backfill；运行时使用同一 selection semantics","否"
"02_platform_pingtai/database/supabase/migrations/20260909061000_add_checkout_address_default.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-670 Checkout address default","MigrationRunner、checkout AddressPort、checkout/order address consumers、AddressPort test","中","G0：active address default-state 回填、partial unique index 与 per-member concurrency discipline","否"
"02_platform_pingtai/database/supabase/migrations/20260909062000_provision_autonode_identity_realm.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-671 Autonomous node Identity Realm provisioning","MigrationRunner、zhudatuanprovisioningapi、identity nodeprovisioning、hosted-node contract","高","G0：fact-bound autonomous Realm provision/disable、idempotency and minimum-privilege boundary","否"
"02_platform_pingtai/database/supabase/migrations/20260909062500_reconcile_autonode_identity_migration_ledger.sql","数据/supabase","数据库迁移","已结构性审阅","2026-09-15","AU-672 Autonomous Identity ledger reconciliation","MigrationRunner、AU-671 schema/ACL marker、supabase_migrations.schema_migrations","中","G0：已执行 AU-671 的 append-only ledger repair；runner 使用精确 schema/privilege guard","否"
"02_platform_pingtai/database/supabase/migrations/20260909063000_reprovision_disabled_autonode_identity_realm.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-673 Reprovision disabled autonomous Identity Realm","Provisioning API、identity.provision_node_realm、disable function、session/ticket/loginintent foreign keys","高","G0：disabled Realm reconfiguration history；F-0276：target deletion被历史 identity foreign keys 阻断","是"
"02_platform_pingtai/database/supabase/migrations/20260909160000_route_identity_notifications_by_node.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-674 Identity notification node routing","MigrationRunner、JobRunner、IdentityNotificationJobsRuntime、central/node runtime tests","高","G0：central/non-node 与 exact node scoped notification job claim routing/lease boundary","否"
"02_platform_pingtai/database/supabase/migrations/20260909203000_switch_l0_public_domain_to_fufu.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-675 L0 public domain switch","MigrationRunner、auth web、SFL node config、Identity API/bootstrap、Storefront domain tests","高","G0：L0 identity entry/return-origin public domain cutover；non-L0 registry snapshot invariant","否"
"02_platform_pingtai/database/supabase/migrations/20260909204000_reconcile_l0_public_domain_migration_ledger.sql","数据/supabase","数据库迁移","已结构性审阅","2026-09-15","AU-676 L0 public domain ledger reconciliation","MigrationRunner、AU-675 L0 registry markers、supabase_migrations.schema_migrations","中","G0：已执行 L0 domain switch 的 append-only ledger repair；精确 terminal-state gate","否"
"02_platform_pingtai/database/supabase/migrations/20260911010000_add_storefront_member_custom_profile.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-677 Storefront member custom profile","MigrationRunner、MemberCustomProfileOperations、access.membership、PGlite custom profile test","高","G0：Mall-scoped Storefront custom tag/field/value schema、RLS及 operator contract；runtime validates membership scope","否"
"02_platform_pingtai/database/supabase/migrations/20260911113000_order_participant_product_route_snapshot.sql","数据/supabase","数据库迁移","已结构性审阅","2026-09-15","AU-678 Order participant/product route snapshot","PlaceOrder、WebOrderOperations、PaymentJobs、supplier route fixtures","中","G0：order/line/suborder/aftersale 的参与者与供应路由历史 snapshot additive schema","否"
"02_platform_pingtai/database/supabase/migrations/20260907110000_publish_storefront_member_directory.sql","数据/supabase","数据库迁移","已深入审阅","2026-09-15","AU-659 Storefront member directory","MigrationRunner、IdentityOperatorMemberModule、Identity Registration API、contract/SDK","中","G0：Mall-bound operator member directory 的 operation/capability/entitlement publication","否"
".dockerignore","仓库根治理与配置","无扩展名文件","已深入审阅","2026-09-15","AU-491 Docker 构建上下文","阿里云 Dockerfile、Docker root context、本地 compose","中","G0：排除本地凭据/构建产物的隐式 Docker 构建契约；正式镜像触发入口未验证","否"
".editorconfig","仓库根治理与配置","无扩展名文件","已深入审阅","2026-09-15","AU-492 编辑器格式约定","EditorConfig 兼容 IDE/编辑器、Markdown/YAML 作者","低","G0：仓库级文本格式与文档硬换行约定；无仓内显式 formatter 消费证据","否"
".gitattributes","仓库根治理与配置","无扩展名文件","已深入审阅","2026-09-15","AU-493 Git 属性","Git checkout/index、格式化 gate、miniapp packer/SQL fixture","中","G0：LF 与二进制版本控制边界；跨平台实际 checkout 未验证","否"
".github/CODEOWNERS","GitHub治理与交付","无扩展名文件","已深入审阅","2026-09-15","AU-494 Code owner 映射","GitHub PR code-owner、Console order、WebOrderOperations","中","G0：有效责任映射；GitHub 远端保护/强制审批未验证","否"
".github/workflows/deploy-oss.yml","GitHub治理与交付","结构化配置/数据","已深入审阅","2026-09-13","AU-001；CP-01 仓库入口与自动发现机制；AU-004/CP-04 发布与节点运行总图","人工 workflow_dispatch / GitHub Actions","P2/F-0016; P2/F-0019","[FACT] AU-001 已核对入口、注册、构建、发布或运行关系；未深入实现；[AU-004][FACT] 全文件发布/运行职责已审，详见 records/AU-004-release-node-runtime-map","按后续模块定级需要"
".github/workflows/deploy.yml","GitHub治理与交付","结构化配置/数据","已深入审阅","2026-09-13","AU-001；CP-01 仓库入口与自动发现机制；AU-003；CP-03 Canonical 进程入口总图；AU-004/CP-04 发布与节点运行总图","人工 workflow_dispatch / GitHub Actions","P1候选/F-0015; P2/F-0019; P2/F-0020","[FACT] AU-003 结构审：该发布/测试文件参与 CreateMall impact 缺口证据链（F-0011）；[AU-004][FACT] 全文件发布/运行职责已审，详见 records/AU-004-release-node-runtime-map","是（RV-0001或RV-0002）"
".github/workflows/quality.yml","GitHub治理与交付","结构化配置/数据","已深入审阅","2026-09-13","AU-001；CP-01 仓库入口与自动发现机制；AU-004/CP-04 发布与节点运行总图","人工 workflow_dispatch / GitHub Actions","P2/F-0019","[FACT] AU-001 已核对入口、注册、构建、发布或运行关系；未深入实现；[AU-004][FACT] 全文件发布/运行职责已审，详见 records/AU-004-release-node-runtime-map","按后续模块定级需要"
".gitignore","仓库根治理与配置","无扩展名文件","已深入审阅","2026-09-15","AU-495 本地状态与凭据排除","localinfra、开发/Compose、发布临时制品、Git status","高","G0：本地凭据、支付证书、构建/测试/AI state 排除规则；历史泄露与CI残留未验证","否"
".ignore","仓库根治理与配置","无扩展名文件","已深入审阅","2026-09-15","AU-496 历史检索排除","ripgrep ignore、README、Vitest、workspace audit","低","G0：可选历史目录的自动检索排除；目录当前不在固定基线","否"
".prettierignore","仓库根治理与配置","无扩展名文件","已深入审阅","2026-09-15","AU-497 Prettier 排除","npm format/check:format、迁移、生成 Miniapp/token、锁文件/交接文档","中","G0：正式格式化边界；生成来源/所有排除对象当前存在性未完全验证","否"
".prettierrc.json","仓库根治理与配置","结构化配置/数据","已深入审阅","2026-09-15","AU-498 Prettier 主配置","npm format/check:format、EditorConfig、Git attributes","低","G0：正式格式化参数；实际全仓格式检查未运行","否"
"01_core_hexin/README.md","仓库根治理与配置","文档","已深入审阅","2026-09-15","AU-499 核心代码布局","01_core_hexin apps/services/packages/extensions 目录","低","G0：一级模块导航与实际目录一致；非运行权威","否"
"01_core_hexin/apps/auth-web/.env.example","应用/auth-web","example","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/.gitignore","应用/auth-web","无扩展名文件","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/README.md","应用/auth-web","文档","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/index.html","应用/auth-web","HTML","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/package.json","应用/auth-web","依赖清单","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/apple-touch-icon.png","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/brand-lockup-horizontal.svg","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/brand-mark.svg","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/favicon.svg","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/icon-192.png","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/icon-512.png","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/share-wechat.png","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/site.webmanifest","应用/auth-web","静态资源","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/wing-code-symbol.svg","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/public/brand/wing-pattern.svg","应用/auth-web","静态资源","已结构性审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","HTML/manifest/legacy静态资源链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/011] 资源引用、尺寸或XML/品牌关系已核对","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/App.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","P2","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/buildEnvironment.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/buildEnvironment.ts","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/context/MallContext.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/hooks/useSmsResendCountdown.ts","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/index.css","应用/auth-web","样式","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/main.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/main.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","P2","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/IdentityAudienceSwitch.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","GX","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","是（P1/GX二次复核）"
"01_core_hexin/apps/auth-web/src/screens/MorviaIdentityShell.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.tsx","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","P2","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/registrationPresentation.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/registrationPresentation.ts","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/useIdentityActions.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/screens/useIdentityActions.ts","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/services/auth.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/services/auth.ts","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","GX","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","是（P1/GX二次复核）"
"01_core_hexin/apps/auth-web/src/services/authInteractionTelemetry.ts","应用/auth-web","TypeScript源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
"01_core_hexin/apps/auth-web/src/services/canonicalIdentity.test.ts","应用/auth-web","测试源码","已深入审阅","2026-09-14","AU-019；CP-19 Auth Web身份入口链","Auth bootstrap/页面/canonical服务/测试链；详见AU-019 files.csv","未发现独立高风险","[FACT][E-AU-019-001/002] 全文件关键逻辑、入口、调用、失败与测试关系已审","否（若后续升级P1/G3/GX再复核）"
