编号,定义位置,Operation,owner,method,path,audience,permission,availability,execution,idempotency,expectedVersion,writePath,requestFields,responseFields,requirements,controller,handler,sdk,审阅结论
OP-AU-007-087,01_core_hexin/packages/contract/definitions/operations.yml:1213,marketing.campaigns.read,marketing,GET,/api/v1/marketing/campaigns,operator,marketing.read,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/marketing.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-088,01_core_hexin/packages/contract/definitions/operations.yml:1225,reporting.dashboard.read,reporting,GET,/api/v1/reports/dashboard,operator,reporting.dashboard.read,runtime,sync,none,none,none,未声明,未声明,MVP05|MVP14|OMS-012,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-089,01_core_hexin/packages/contract/definitions/operations.yml:1240,reporting.sales.read,reporting,GET,/api/v1/reports/sales,operator,reporting.sales.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20|OMS-012,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-090,01_core_hexin/packages/contract/definitions/operations.yml:1255,reporting.products.read,reporting,GET,/api/v1/reports/products,operator,reporting.product.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-091,01_core_hexin/packages/contract/definitions/operations.yml:1269,reporting.malls.read,reporting,GET,/api/v1/reports/malls,operator,reporting.mall.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-092,01_core_hexin/packages/contract/definitions/operations.yml:1283,reporting.categories.read,reporting,GET,/api/v1/reports/categories,operator,reporting.category.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-093,01_core_hexin/packages/contract/definitions/operations.yml:1297,reporting.channels.read,reporting,GET,/api/v1/reports/channels,operator,reporting.channel.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-094,01_core_hexin/packages/contract/definitions/operations.yml:1311,reporting.powderclass.read,reporting,GET,/api/v1/reports/powderclass,operator,reporting.powderclass.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-095,01_core_hexin/packages/contract/definitions/operations.yml:1325,reporting.voucherconsumption.read,reporting,GET,/api/v1/reports/voucherconsumption,operator,reporting.voucher.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-096,01_core_hexin/packages/contract/definitions/operations.yml:1339,reporting.exports.create,reporting,POST,/api/v1/reports/exports,operator,reporting.export.manage,runtime,sync,required,optional,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-097,01_core_hexin/packages/contract/definitions/operations.yml:1353,reporting.exports.read,reporting,GET,/api/v1/reports/exports/{exportid},operator,reporting.export.read,runtime,sync,none,none,none,未声明,未声明,MVP11|MVP20,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/reporting.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-098,01_core_hexin/packages/contract/definitions/operations.yml:1367,experience.applications.create,experience,POST,/api/v1/experiences/applications,operator,experience.application.manage,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-099,01_core_hexin/packages/contract/definitions/operations.yml:1381,experience.published.read,experience,GET,/api/v1/experiences/published,public,,runtime,sync,none,none,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-100,01_core_hexin/packages/contract/definitions/operations.yml:1394,experience.applications.copy,experience,POST,/api/v1/experiences/applications/{applicationid}/copies,operator,experience.application.manage,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-101,01_core_hexin/packages/contract/definitions/operations.yml:1408,experience.applications.read,experience,GET,/api/v1/experiences/applications,operator,experience.application.read,runtime,sync,none,none,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-102,01_core_hexin/packages/contract/definitions/operations.yml:1422,experience.applications.update,experience,PATCH,/api/v1/experiences/applications/{applicationid},operator,experience.application.manage,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-103,01_core_hexin/packages/contract/definitions/operations.yml:1436,experience.versions.save,experience,POST,/api/v1/experiences/applications/{applicationid}/versions,operator,experience.version.manage,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-104,01_core_hexin/packages/contract/definitions/operations.yml:1450,experience.versions.validate,experience,POST,/api/v1/experiences/versions/{versionid}/validation,operator,experience.version.manage,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-105,01_core_hexin/packages/contract/definitions/operations.yml:1464,experience.versions.publish,experience,PUT,/api/v1/experiences/versions/{versionid}/publication,operator,experience.version.publish,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-106,01_core_hexin/packages/contract/definitions/operations.yml:1478,experience.versions.restore,experience,POST,/api/v1/experiences/versions/{versionid}/restorations,operator,experience.version.publish,runtime,sync,required,optional,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/experience.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-107,01_core_hexin/packages/contract/definitions/operations.yml:1492,cart.current.read,cart,GET,/api/v1/carts/current,member,cart.read,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/cart.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-108,01_core_hexin/packages/contract/definitions/operations.yml:1504,cart.items.put,cart,PUT,/api/v1/carts/current/items/{listingid},member,cart.manage,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/cart.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-109,01_core_hexin/packages/contract/definitions/operations.yml:1516,cart.items.batch,cart,POST,/api/v1/carts/current/items/batches,member,cart.manage,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/cart.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-110,01_core_hexin/packages/contract/definitions/operations.yml:1528,checkout.quote.create,checkout,POST,/api/v1/checkouts/quotes,member,checkout.create,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/checkout.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-111,01_core_hexin/packages/contract/definitions/operations.yml:1540,order.orders.create,order,POST,/api/v1/orders,member,order.create,runtime,sync,required,optional,transactional,16,13,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-112,01_core_hexin/packages/contract/definitions/operations.yml:1554,order.orders.read,order,GET,/api/v1/orders,member,order.read,runtime,sync,none,none,none,未声明,未声明,MVP08|MVP17|OMS-001|OMS-004|OMS-005,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-113,01_core_hexin/packages/contract/definitions/operations.yml:1571,order.orders.receive,order,POST,/api/v1/orders/{orderid}/receive,member,order.read,runtime,sync,required,required,transactional,0,0,MVP08|MVP17|OMS-004,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-114,01_core_hexin/packages/contract/definitions/operations.yml:1593,order.reminders.create,order,POST,/api/v1/orders/{orderid}/reminders,member,order.reminder.create,runtime,sync,required,optional,transactional,6,1,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-115,01_core_hexin/packages/contract/definitions/operations.yml:1607,order.orders.export,order,POST,/api/v1/orders/exports,operator,order.export,runtime,sync,required,optional,transactional,6,1,MVP08|MVP17|OMS-007,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-116,01_core_hexin/packages/contract/definitions/operations.yml:1624,order.aftersales.read,order,GET,/api/v1/orders/aftersales,member,order.aftersale.read,runtime,sync,none,none,none,未声明,未声明,MVP08|MVP17|OMS-008,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-117,01_core_hexin/packages/contract/definitions/operations.yml:1639,order.aftersales.apply,order,POST,/api/v1/orders/{orderid}/aftersales,member,order.aftersale.apply,runtime,sync,required,optional,transactional,6,1,MVP08|MVP17|OMS-008,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-118,01_core_hexin/packages/contract/definitions/operations.yml:1656,order.aftersales.approve,order,PUT,/api/v1/orders/aftersales/{aftersaleid}/approval,operator,order.aftersale.decide,runtime,sync,required,optional,transactional,6,6,MVP08|MVP17|OMS-008,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-119,01_core_hexin/packages/contract/definitions/operations.yml:1673,order.aftersales.reject,order,DELETE,/api/v1/orders/aftersales/{aftersaleid}/approval,operator,order.aftersale.decide,runtime,sync,required,optional,transactional,6,1,MVP08|MVP17|OMS-008,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/order.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-120,01_core_hexin/packages/contract/definitions/operations.yml:1690,fulfillment.shipments.create,fulfillment,POST,/api/v1/fulfillments/{fulfillmentid}/shipments,operator,fulfillment.ship,runtime,sync,required,optional,none,未声明,未声明,MVP08|MVP17,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/fulfillment.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-121,01_core_hexin/packages/contract/definitions/operations.yml:1704,fulfillment.tracking.read,fulfillment,GET,/api/v1/fulfillments/tracking,member,fulfillment.read,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/fulfillment.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-122,01_core_hexin/packages/contract/definitions/operations.yml:1716,fulfillment.returns.receive,fulfillment,PUT,/api/v1/fulfillments/returns/{returnid}/receipt,operator,fulfillment.return.manage,runtime,sync,required,optional,none,未声明,未声明,MVP08|MVP17,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/fulfillment.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-123,01_core_hexin/packages/contract/definitions/operations.yml:1730,fulfillment.returns.inspect,fulfillment,PUT,/api/v1/fulfillments/returns/{returnid}/inspection,operator,fulfillment.return.manage,runtime,sync,required,optional,none,未声明,未声明,MVP08|MVP17,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/fulfillment.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-124,01_core_hexin/packages/contract/definitions/operations.yml:1744,payment.intents.create,payment,POST,/api/v1/payments/intents,member,payment.create,runtime,sync,required,optional,durable,10,12,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/payment.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-125,01_core_hexin/packages/contract/definitions/operations.yml:1758,payment.intents.read,payment,GET,/api/v1/payments/intents/{paymentid},member,payment.create,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/payment.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-126,01_core_hexin/packages/contract/definitions/operations.yml:1770,verification.challenges.issue,verification,POST,/api/v1/verifications/challenges,operator,verification.issue,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/verification.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-127,01_core_hexin/packages/contract/definitions/operations.yml:1782,verification.sessions.read,verification,GET,/api/v1/verifications/sessions,member,verification.issue,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/verification.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-128,01_core_hexin/packages/contract/definitions/operations.yml:1794,verification.challenges.verify,verification,POST,/api/v1/verifications/challenges/{challengeid}/verification,operator,verification.verify,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/verification.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-129,01_core_hexin/packages/contract/definitions/operations.yml:1806,verification.history.read,verification,GET,/api/v1/verifications/history,operator,verification.verify,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/verification.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-130,01_core_hexin/packages/contract/definitions/operations.yml:1818,verification.devices.read,verification,GET,/api/v1/verifications/devices,operator,verification.verify,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/verification.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-131,01_core_hexin/packages/contract/definitions/operations.yml:1830,verification.devices.manage,verification,PUT,/api/v1/verifications/devices/{deviceid},operator,verification.verify,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/verification.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-132,01_core_hexin/packages/contract/definitions/operations.yml:1842,payment.refunds.request,payment,POST,/api/v1/payments/refunds,operator,payment.refund,runtime,sync,required,optional,transactional,6,5,MVP08|MVP17,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/payment.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-133,01_core_hexin/packages/contract/definitions/operations.yml:1858,payment.recoveries.read,payment,GET,/api/v1/payments/recoveries,operator,payment.recovery.read,runtime,sync,none,none,none,未声明,未声明,MVP08|MVP17|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/payment.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-134,01_core_hexin/packages/contract/definitions/operations.yml:1873,payment.recoveries.resolve,payment,POST,/api/v1/payments/recoveries/{caseid}/resolutions,operator,payment.recovery.manage,runtime,sync,required,optional,transactional,6,5,MVP08|MVP17|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/payment.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-135,01_core_hexin/packages/contract/definitions/operations.yml:1890,payment.webhooks.wechat,payment,POST,/api/v1/webhooks/wechat/payment,provider,,runtime,sync,none,optional,provider,6,0,MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/payment.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-136,01_core_hexin/packages/contract/definitions/operations.yml:1904,voucher.cardlibraries.read,voucher,GET,/api/v1/vouchers/cardlibraries,operator,voucher.cardlibrary.read,runtime,sync,none,none,none,未声明,未声明,MVP09|MVP18,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/voucher.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-137,01_core_hexin/packages/contract/definitions/operations.yml:1918,voucher.cardlibraries.create,voucher,POST,/api/v1/vouchers/cardlibraries,operator,voucher.cardlibrary.manage,runtime,sync,required,optional,transactional,1,3,MVP03|MVP09|MVP18,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/voucher.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-138,01_core_hexin/packages/contract/definitions/operations.yml:1935,voucher.cardlibraries.allocate,voucher,POST,/api/v1/vouchers/cardlibraries/{libraryid}/allocations,operator,voucher.cardlibrary.allocate,runtime,sync,required,optional,transactional,17,0,MVP03|MVP04|MVP09|MVP18,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/voucher.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-139,01_core_hexin/packages/contract/definitions/operations.yml:1953,voucher.imports.read,voucher,GET,/api/v1/vouchers/imports/{importid},operator,voucher.cardlibrary.read,runtime,sync,none,none,none,未声明,未声明,MVP09|MVP18,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/voucher.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-140,01_core_hexin/packages/contract/definitions/operations.yml:1967,voucher.programs.read,voucher,GET,/api/v1/vouchers/programs,operator,voucher.program.read,runtime,sync,none,none,none,未声明,未声明,MVP09|MVP18,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/voucher.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
