"函数编号","文件/位置","1 唯一职责","2 参数来源","3 运行时校验","4 默认值/特殊输入","5 外部可变状态","6 隐藏前置条件","7 返回/抛错","8 下游调用","9 超时重试","10 资源清理","11 并发/重复","12 已测分支","13 未测分支","14 复杂度/结论"
"FN-AU-007-039","04_tools/tools/contractgen/src/ClientArtifacts.ts:57","把Operation目录投影为OpenAPI paths/components","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-040","04_tools/tools/contractgen/src/ClientArtifacts.ts:136","ClientArtifacts.ts中的具名函数 operationSource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-041","04_tools/tools/contractgen/src/ClientArtifacts.ts:161","生成每个Operation的named input/output schema目录","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-042","04_tools/tools/contractgen/src/ClientArtifacts.ts:171","ClientArtifacts.ts中的具名函数 sdkSource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-043","04_tools/tools/contractgen/src/ClientArtifacts.ts:181","ClientArtifacts.ts中的具名函数 sdkDomainSources","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-044","04_tools/tools/contractgen/src/ClientArtifacts.ts:185","ClientArtifacts.ts中的具名函数 sdkDomainSource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-045","04_tools/tools/contractgen/src/ClientArtifacts.ts:208","生成Error/JsonValue及每Operation两份component","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0038的反事实未进入正式通过证据","[FACT] 关联F-0038；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-046","04_tools/tools/contractgen/src/ClientArtifacts.ts:239","有field目录时只生成JsonValue属性allowlist且不声明required","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0038的反事实未进入正式通过证据","[FACT] 关联F-0038；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-047","04_tools/tools/contractgen/src/ClientArtifacts.ts:249","ClientArtifacts.ts中的具名函数 response","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-048","04_tools/tools/contractgen/src/ClientArtifacts.ts:253","ClientArtifacts.ts中的具名函数 reference","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-049","04_tools/tools/contractgen/src/ClientArtifacts.ts:257","ClientArtifacts.ts中的具名函数 pathKeys","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-050","04_tools/tools/contractgen/src/ClientArtifacts.ts:261","ClientArtifacts.ts中的具名函数 groupOperations","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-051","04_tools/tools/contractgen/src/ClientArtifacts.ts:272","ClientArtifacts.ts中的具名函数 methodName","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-052","04_tools/tools/contractgen/src/ClientArtifacts.ts:277","ClientArtifacts.ts中的具名函数 typeName","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-053","04_tools/tools/contractgen/src/ClientArtifacts.ts:281","ClientArtifacts.ts中的具名函数 compact","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-054","04_tools/tools/contractgen/src/ClientArtifacts.ts:285","ClientArtifacts.ts中的具名函数 stable","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-055","04_tools/tools/contractgen/src/ContractGenerator.ts:85","ContractGenerator.ts中的具名函数 catalog","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-056","04_tools/tools/contractgen/src/ContractGenerator.ts:92","把Raw Operation默认化并计算operationHash","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-057","04_tools/tools/contractgen/src/ContractGenerator.ts:137","按method/id/domain推断none/transactional/durable/provider","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0040的反事实未进入正式通过证据","[FACT] 关联F-0040；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-058","04_tools/tools/contractgen/src/ContractGenerator.ts:144","ContractGenerator.ts中的具名函数 operationTargets","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-059","04_tools/tools/contractgen/src/ContractGenerator.ts:148","ContractGenerator.ts中的具名函数 operationNodeProfiles","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-060","04_tools/tools/contractgen/src/ContractGenerator.ts:152","ContractGenerator.ts中的具名函数 schemaName","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-061","04_tools/tools/contractgen/src/ContractGenerator.ts:156","ContractGenerator.ts中的具名函数 sensitiveFields","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-062","04_tools/tools/contractgen/src/ContractGenerator.ts:162","验证ID、route、policy、target、permission与frozen约束","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-063","04_tools/tools/contractgen/src/ContractGenerator.ts:215","只验证Event ID唯一/格式和正整数version","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0039的反事实未进入正式通过证据","[FACT] 关联F-0039；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-064","04_tools/tools/contractgen/src/ContractGenerator.ts:223","ContractGenerator.ts中的具名函数 validatePermissions","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-065","04_tools/tools/contractgen/src/ContractGenerator.ts:232","仅对能匹配Operation的capability比较audience","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0041的反事实未进入正式通过证据","[FACT] 关联F-0041；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-066","04_tools/tools/contractgen/src/ContractGenerator.ts:243","验证Error code/status/唯一性与localeCompare顺序","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-067","04_tools/tools/contractgen/src/ContractGenerator.ts:255","check模式逐字比较；write模式直接覆盖单文件","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0042的反事实未进入正式通过证据","[FACT] 关联F-0042；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-068","04_tools/tools/contractgen/src/ContractGenerator.ts:264","顺序生成Miniapp可选输出、Commerce壳、event registry与DB","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0042的反事实未进入正式通过证据","[FACT] 关联F-0042；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-069","04_tools/tools/contractgen/src/ContractGenerator.ts:280","用Operation/Event/Permission投影替换SQL template","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-070","04_tools/tools/contractgen/src/ContractGenerator.ts:301","ContractGenerator.ts中的具名函数 errorSource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-071","04_tools/tools/contractgen/src/ContractGenerator.ts:306","ContractGenerator.ts中的具名函数 eventSource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-072","04_tools/tools/contractgen/src/ContractGenerator.ts:311","生成无payload schema校验的Event序列化壳","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-073","04_tools/tools/contractgen/src/ContractGenerator.ts:316","发布固定version与聚合checksum","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0039的反事实未进入正式通过证据","[FACT] 关联F-0039；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-074","04_tools/tools/contractgen/src/ContractGenerator.ts:320","ContractGenerator.ts中的具名函数 miniappIdentitySource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-075","04_tools/tools/contractgen/src/ContractGenerator.ts:324","把handlers写入Commerce运行registry并从COMMERCE_EVENTS取version","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0039的反事实未进入正式通过证据","[FACT] 关联F-0039；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-076","04_tools/tools/contractgen/src/ContractGenerator.ts:330","ContractGenerator.ts中的具名函数 miniappSource","YAML归一化记录、生成上下文或CLI模式","依赖上游类型/被调用helper；具体见源码与branches","大量默认值来自normalizeOperations；显式字段可覆盖","生成目标文件；check模式只读","definitions与template/target路径存在；依赖yaml/authz/tsx","返回冻结/解析值或生成文本；失败抛稳定错误为主","emit→contract/OpenAPI/SDK/Commerce/DB输出","无内部重试；不适用","进程退出释放；跨文件写无rollback","假定串行生成；无跨进程锁","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
