编号,定义位置,code,kind,owner,permission,audience,Operation匹配,owner一致,permission一致,audience一致,审阅结论
CAP-AU-007-147,01_core_hexin/packages/contract/definitions/capabilities.yml:733,invoice.requests.read,operation,finance,invoice.request.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-148,01_core_hexin/packages/contract/definitions/capabilities.yml:738,invoice.requests.cancel,operation,finance,invoice.request.cancel,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-149,01_core_hexin/packages/contract/definitions/capabilities.yml:743,support.cases.create,operation,support,support.case.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-150,01_core_hexin/packages/contract/definitions/capabilities.yml:748,support.cases.read,operation,support,support.case.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-151,01_core_hexin/packages/contract/definitions/capabilities.yml:753,support.cases.update,operation,support,support.case.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-152,01_core_hexin/packages/contract/definitions/capabilities.yml:758,support.cases.close,operation,support,support.case.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-153,01_core_hexin/packages/contract/definitions/capabilities.yml:763,support.cases.reopen,operation,support,support.case.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-154,01_core_hexin/packages/contract/definitions/capabilities.yml:768,support.messages.send,operation,support,support.message.send,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-155,01_core_hexin/packages/contract/definitions/capabilities.yml:773,support.messages.read,operation,support,support.message.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-156,01_core_hexin/packages/contract/definitions/capabilities.yml:778,support.assignments.manage,operation,support,support.assignment.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-157,01_core_hexin/packages/contract/definitions/capabilities.yml:783,support.agents.manage,operation,support,support.agent.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-158,01_core_hexin/packages/contract/definitions/capabilities.yml:788,support.agents.read,operation,support,support.agent.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-159,01_core_hexin/packages/contract/definitions/capabilities.yml:793,support.accounts.manage,operation,support,support.account.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-160,01_core_hexin/packages/contract/definitions/capabilities.yml:798,support.accounts.read,operation,support,support.account.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-161,01_core_hexin/packages/contract/definitions/capabilities.yml:803,support.rules.read,operation,support,support.rule.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-162,01_core_hexin/packages/contract/definitions/capabilities.yml:808,support.rules.manage,operation,support,support.rule.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-163,01_core_hexin/packages/contract/definitions/capabilities.yml:813,support.slas.read,operation,support,support.sla.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-164,01_core_hexin/packages/contract/definitions/capabilities.yml:818,support.slas.manage,operation,support,support.sla.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-165,01_core_hexin/packages/contract/definitions/capabilities.yml:823,support.history.read,operation,support,support.history.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-166,01_core_hexin/packages/contract/definitions/capabilities.yml:828,notification.notifications.read,operation,notification,notification.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-167,01_core_hexin/packages/contract/definitions/capabilities.yml:833,notification.preferences.read,operation,notification,notification.preference.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-168,01_core_hexin/packages/contract/definitions/capabilities.yml:838,notification.templates.manage,operation,notification,notification.template.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-169,01_core_hexin/packages/contract/definitions/capabilities.yml:843,notification.templates.read,operation,notification,notification.template.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-170,01_core_hexin/packages/contract/definitions/capabilities.yml:848,notification.announcements.read,operation,notification,notification.announcement.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-171,01_core_hexin/packages/contract/definitions/capabilities.yml:853,notification.announcements.manage,operation,notification,notification.announcement.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-172,01_core_hexin/packages/contract/definitions/capabilities.yml:858,risk.center.read,operation,risk,risk.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-173,01_core_hexin/packages/contract/definitions/capabilities.yml:863,risk.policies.manage,operation,risk,risk.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-174,01_core_hexin/packages/contract/definitions/capabilities.yml:868,risk.cases.review,operation,risk,risk.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-175,01_core_hexin/packages/contract/definitions/capabilities.yml:873,audit.records.read,operation,audit,audit.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-176,01_core_hexin/packages/contract/definitions/capabilities.yml:878,observability.clienterrors.create,operation,observability,observability.clienterror.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-177,01_core_hexin/packages/contract/definitions/capabilities.yml:883,observability.clienterrors.read,operation,observability,observability.clienterror.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-178,01_core_hexin/packages/contract/definitions/capabilities.yml:888,channel.connections.read,operation,channel,channel.connection.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-179,01_core_hexin/packages/contract/definitions/capabilities.yml:893,channel.connections.create,operation,channel,channel.connection.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-180,01_core_hexin/packages/contract/definitions/capabilities.yml:898,channel.connections.update,operation,channel,channel.connection.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-181,01_core_hexin/packages/contract/definitions/capabilities.yml:903,channel.connections.test,operation,channel,channel.connection.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-182,01_core_hexin/packages/contract/definitions/capabilities.yml:908,channel.connections.enable,operation,channel,channel.connection.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-183,01_core_hexin/packages/contract/definitions/capabilities.yml:913,channel.connections.disable,operation,channel,channel.connection.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-184,01_core_hexin/packages/contract/definitions/capabilities.yml:918,channel.webhooks.receive,operation,channel,,provider,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-185,01_core_hexin/packages/contract/definitions/capabilities.yml:922,channel.syncruns.start,operation,channel,channel.sync.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-186,01_core_hexin/packages/contract/definitions/capabilities.yml:927,channel.syncruns.read,operation,channel,channel.sync.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-187,01_core_hexin/packages/contract/definitions/capabilities.yml:932,channel.syncruns.cancel,operation,channel,channel.sync.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-188,01_core_hexin/packages/contract/definitions/capabilities.yml:937,channel.operations.read,operation,channel,channel.operation.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-189,01_core_hexin/packages/contract/definitions/capabilities.yml:942,channel.operations.replay,operation,channel,channel.operation.replay,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-190,01_core_hexin/packages/contract/definitions/capabilities.yml:947,extension.installations.read,operation,extension,extension.installation.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
