permission编号,code,category,risk,stepup,scopes,定义行,Operation数量,Operations,methods,audiences,owners,目录唯一,Operation引用状态,审计结论
PERM-AU-010-139,finance.withdrawal.create,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,150,1,finance.withdrawals.create,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-140,finance.withdrawal.decide,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,151,1,finance.withdrawals.decide,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-141,finance.withdrawal.recover,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,152,1,finance.withdrawals.recover,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-142,finance.hold.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,153,1,finance.holds.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-143,finance.period.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,154,1,finance.periods.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-144,finance.period.manage,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,155,1,finance.periods.manage,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-145,finance.backfill.read,finance,high,false,platform|distributor|tenant|enterprise|mall|department,156,1,finance.backfills.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-146,finance.backfill.decide,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,157,1,finance.backfills.decide,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-147,finance.policy.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,158,1,finance.policies.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-148,finance.policy.manage,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,159,2,finance.policies.manage|finance.policies.preview,PUT|POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-149,invoice.profile.manage,invoice,high,false,platform|distributor|tenant|enterprise|mall|department,160,1,invoice.profiles.manage,PUT,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-150,invoice.profile.read,invoice,elevated,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,161,2,invoice.profiles.read|invoice.operatorprofiles.read,GET,member|operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-151,invoice.request.create,invoice,high,false,platform|distributor|tenant|enterprise|mall|department,162,1,invoice.requests.create,POST,member,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-152,invoice.request.read,invoice,elevated,false,platform|distributor|tenant|enterprise|mall|department,163,1,invoice.requests.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-153,invoice.request.cancel,invoice,high,false,platform|distributor|tenant|enterprise|mall|department,164,1,invoice.requests.cancel,DELETE,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-154,invoice.request.decide,invoice,critical,true,platform|distributor|tenant|enterprise|mall|department,165,1,invoice.requests.decide,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-155,invoice.request.red,invoice,critical,true,platform|distributor|tenant|enterprise|mall|department,166,1,invoice.requests.red,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-156,support.case.create,support,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,167,1,support.cases.create,POST,member,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-157,support.case.read,support,elevated,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,168,1,support.cases.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-158,support.case.manage,support,high,false,platform|distributor|tenant|enterprise|mall|department,169,3,support.cases.update|support.cases.close|support.cases.reopen,PATCH|PUT|DELETE,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-159,support.message.send,support,elevated,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,170,2,support.messages.send|support.attachments.create,POST,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-160,support.message.read,support,elevated,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,171,1,support.messages.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-161,support.assignment.manage,support,high,false,platform|distributor|tenant|enterprise|mall|department,172,1,support.assignments.manage,PUT,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-162,support.agent.read,support,high,false,platform|distributor|tenant|enterprise|mall|department,173,1,support.agents.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-163,support.agent.manage,support,high,false,platform|distributor|tenant|enterprise|mall|department,174,1,support.agents.manage,PUT,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-164,support.account.read,support,high,false,platform|distributor|tenant|enterprise|mall|department,175,1,support.accounts.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-165,support.account.manage,support,critical,true,platform|distributor|tenant|enterprise|mall|department,176,1,support.accounts.manage,PUT,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-166,support.rule.read,support,high,false,platform|distributor|tenant|enterprise|mall|department,177,1,support.rules.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-167,support.rule.manage,support,critical,true,platform|distributor|tenant|enterprise|mall|department,178,1,support.rules.manage,PUT,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-168,support.sla.read,support,high,false,platform|distributor|tenant|enterprise|mall|department,179,1,support.slas.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-169,support.sla.manage,support,critical,true,platform|distributor|tenant|enterprise|mall|department,180,1,support.slas.manage,PUT,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-170,support.history.read,support,high,false,platform|distributor|tenant|enterprise|mall|department,181,1,support.history.read,GET,operator,support,是,已使用,目录与Operation引用闭合
PERM-AU-010-171,notification.read,notification,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,182,1,notification.notifications.read,GET,member,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-172,notification.preference.read,notification,low,false,owner,183,1,notification.preferences.read,GET,member,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-173,notification.preference.manage,notification,low,false,owner,184,1,notification.preferences.manage,PUT,member,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-174,notification.endpoint.manage,notification,elevated,false,owner,185,1,notification.endpoints.manage,PUT,member,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-175,notification.template.read,notification,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,186,1,notification.templates.read,GET,operator,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-176,notification.template.manage,notification,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,187,1,notification.templates.manage,PUT,operator,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-177,notification.announcement.read,notification,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,188,1,notification.announcements.read,GET,operator,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-178,notification.announcement.manage,notification,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,189,1,notification.announcements.manage,PUT,operator,notification,是,已使用,目录与Operation引用闭合
PERM-AU-010-179,risk.read,risk,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,190,1,risk.center.read,GET,operator,risk,是,已使用,目录与Operation引用闭合
PERM-AU-010-180,risk.manage,risk,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,191,2,risk.policies.manage|risk.cases.review,PUT,operator,risk,是,已使用,目录与Operation引用闭合
PERM-AU-010-181,observability.clienterror.create,observability,low,false,owner,192,1,observability.clienterrors.create,POST,member,observability,是,已使用,目录与Operation引用闭合
PERM-AU-010-182,observability.clienterror.read,observability,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,193,1,observability.clienterrors.read,GET,operator,observability,是,已使用,目录与Operation引用闭合
PERM-AU-010-183,audit.read,audit,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,194,2,audit.records.read|finance.audit.read,GET,operator,audit|finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-184,extension.installation.read,extension,high,false,platform,195,1,extension.installations.read,GET,operator,extension,是,已使用,目录与Operation引用闭合
